"Day","Date","League","Type","Abberath.s.Horn","Advancing.Fortress","Agnerod.East","Agnerod.North","Agnerod.South","Agnerod.West","Ahn.s.Might","Al.Dhih","Allure","Amplification.Rod","Apep.s.Rage","Arakaali.s.Fang","Arborix","Ashcaller","Atziri.s.Disfavour","Augyre","Aurumvorax","Axiom.Perpetuum","Balefire","Beltimber.Blade","Bino.s.Kitchen.Knife","Bitterdream","Bloodplay","Bloodseeker","Brain.Rattler","Breath.of.the.Council","Brightbeak","Brutus..Lead.Sprinkler","Callinellus.Malleus","Cameria.s.Maul","Cane.of.Unravelling","Chin.Sol","Chitus..Needle","Chober.Chaber","Clayshaper","Cospri.s.Malice","Cybil.s.Paw","Daresso.s.Passion","Darkscorn","Death.s.Hand","Death.s.Harp","Death.s.Opus","Debeon.s.Dirge","Divinarius","Doomfletch","Doomfletch.s.Prism","Doomsower","Doon.Cuebiyari","Doryani.s.Catalyst","Dreadarc","Dreamfeather","Duskdawn","Dyadus","Dying.Breath","Eclipse.Solaris","Edge.of.Madness","Ephemeral.Edge","Essentia.Sanguis","Ewar.s.Mirage","Femurs.of.the.Saints","Fencoil","Fidelitas..Spike","Flesh.Eater","Frostbreath","Geofri.s.Baptism","Gorebreaker","Goredrill","Grelwood.Shank","Hand.of.Thought.and.Motion","Hand.of.Wisdom.and.Action","Heartbreaker","Hegemony.s.Era","Hezmana.s.Bloodlust","Hiltless","Hopeshredder","Hrimnor.s.Dirge","Hrimnor.s.Hymn","Hyaon.s.Fury","Ichimonji","Infractem","Innsbury.Edge","Iron.Commander","Izaro.s.Dilemma","Jack..the.Axe","Jorrhast.s.Blacksteel","Kaom.s.Primacy","Kingmaker","Kitava.s.Feast","Kondo.s.Pride","Kongor.s.Undying.Rage","Lakishu.s.Blade","Last.Resort","Lavianga.s.Wisdom","Lifesprig","Limbsplit","Lioneye.s.Glare","Mark.of.the.Doubting.Knight","Marohi.Erqi","Martyr.of.Innocence","Midnight.Bargain","Mightflay","Mj√.lner","Mon.tregul.s.Grasp","Moonbender.s.Wing","Moonsorrow","Mortem.Morsu","Nebuloch","Ngamahu.s.Flame","Null.s.Inclination","Nuro.s.Harp","Nycta.s.Lantern","Obliteration","Oni.Goroshi","Ornament.of.the.East","Oro.s.Sacrifice","Pillar.of.the.Caged.God","Piscator.s.Vigil","Pledge.of.Hands","Prismatic.Eclipse","Quecholli","Queen.s.Decree","Queen.s.Escape","Quill.Rain","Razor.of.the.Seventh.Sun","Reach.of.the.Council","Realm.Ender","Realmshaper","Reaper.s.Pursuit","Rebuke.of.the.Vaal","Redbeak","Relentless.Fury","Reverberation.Rod","Rigwald.s.Charge","Rigwald.s.Command","Rigwald.s.Savagery","Rive","Roth.s.Reach","Scaeva","Severed.in.Sleep","Shade.of.Solaris","Shimmeron","Shiversting","Silverbough","Silverbranch","Singularity","Sire.of.Shards","Slivertongue","Soul.Taker","Spine.of.the.First.Claimant","Starforge","Storm.Cloud","Storm.Prison","Taproot","Taryn.s.Shiver","Terminus.Est","The.Blood.Reaper","The.Blood.Thorn","The.Cauteriser","The.Consuming.Dark","The.Dancing.Dervish","The.Dark.Seer","The.Goddess.Bound","The.Goddess.Scorned","The.Gryphon","The.Harvest","The.Poet.s.Pen","The.Princess","The.Scourge","The.Screaming.Eagle","The.Searing.Touch","The.Stormheart","The.Supreme.Truth","The.Tempest","The.Tempestuous.Steel","The.Wasp.Nest","The.Whispering.Ice","Tidebreaker","Touch.of.Anguish","Tremor.Rod","Trypanon","Tulborn","Tulfall","Twyzel","Ungil.s.Gauche","United.in.Dream","Uul.Netol.s.Embrace","Uul.Netol.s.Kiss","Varunastra","Void.Battery","Voidhome","Voltaxic.Rift","Vulconus","White.Wind","Wideswing","Widowmaker","Wildslash","Windripper","Wings.of.Entropy","Xirgil.s.Crank","Xoph.s.Inception","Xoph.s.Nurture","Cameria.s.Avarice","Corona.Solaris","Disintegrator","Dreadbeak","Dreadsurge","Geofri.s.Devotion","Mirebough","Panquetzaliztli","Sanguine.Gambol","The.Dancing.Duo","The.Enmity.Divine","The.Rippling.Thoughts","The.Stormwall","Voidforge","Cerberus.Limb","Chaber.Cairn","Earendel.s.Embrace","Fate.of.the.Vaal","Paradoxica","Sinvicta.s.Mettle","Soulwrest","Story.of.the.Vaal","The.Crimson.Storm","The.Grey.Spire","Cold.Iron.Point","Nebulis","Sign.of.the.Sin.Eater","The.Goddess.Unleashed","The.Black.Cane","The.Saviour"
1,"2017-12-08","Abyss","UniqueWeapon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01333,0,1.01333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.33333,1,0,0,0,0,1.01714,0,0,0,0,0,0,0,0,0,1.152,0,1.19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"2017-12-09","Abyss","UniqueWeapon",0.54155,1.16129,5.14194,4.94677,7.08097,8.25323,5.85839,0.35457,3.09968,5.68438,3.78742,5.54839,0,0.57769,450,0,0.71104,0.72534,6.84355,0,1.09677,0.5871,0.54362,19.43065,0,96.36,5.15281,0,4.48548,0.95645,1,7.52935,0.99903,0.90968,1,43.45091,0.14226,0.73161,0.40613,37.61462,23.958,20.95138,1.03226,14.34355,12.47111,16.66742,10.02129,35.38059,65.89323,0.50759,8.75452,16.854,1.04387,0.44604,0.17129,0,0.81645,1.18,2.0445,0.95484,0.52707,1.38881,0.48097,0.95387,0.806,0.71569,0.52293,0,10.04258,0,1.19355,71.09,18.81065,1.64419,0,6.43129,0.52849,3.33645,17.28161,0.98226,1.40161,0.25485,33.81167,8.74839,0,3.88632,0,74.4,10.49032,9.09226,0.83323,0.54121,0.33525,0.68017,0.82351,6.21065,0.77375,1.39032,15.25645,1,0.73419,7.22968,1,0.99903,0.62613,1,0,43.10677,0.91419,0.95161,1.74194,0.96419,0,1.4329,1.69032,0.54155,24.84677,13.02065,3.96032,0.52636,1.03405,12.89161,0.54155,0,40.43467,4.75548,0.56719,0.9971,1,0.54155,0.9,1.59128,0.96323,0,0,2.39774,0.93448,8.41742,90,7.69387,0,0.70672,4.47129,0.54155,3.55742,1.70161,0,90.77161,0.99129,0,0.57603,0.54155,0.1971,8.26419,3.36677,1.33,0.5331,11.19452,3.19512,0.8471,0,1.14052,20,5.91226,0,22.00685,0.85207,0,0.54155,2.02774,0.62881,7.41828,8.86903,2.23419,2.42581,1.74488,80.15667,33.76,32.125,0,2.92935,0,0.14226,0.24371,0,0,29.826,0,108.75143,0.2029,3.38581,0,1.54613,0.52127,0.14774,0.54966,119.92933,3.0329,1.91387,1.76613,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2017-12-10","Abyss","UniqueWeapon",0.17879,0.9831,3.93845,4.02621,4.04103,4.15655,2.78259,0.17879,1.15759,4.8481,2.51224,2.98155,0,0.17828,391.9969,0,0.17879,0.17966,2.45483,191.575,1,0.17879,0.1769,12.29862,106.97786,117.595,4.63914,594.59459,2.20017,0.24069,0.44879,3.29052,0.99259,0.21397,0.93172,33.10276,0.17879,0.19259,0.17879,34.64414,13.5,18.93552,0.59638,12.00293,19.59897,15.30707,3.91569,12.40121,48.92121,0.17879,3.12345,30.21364,1,0.17879,0.17879,21.64769,0.38121,0.98586,0.18793,0.30534,0.13207,0.17879,0.17879,0.62603,0.17879,0.17879,0.14879,56.3287,6.16293,0,0.99448,26.55224,12.28414,0.98086,173.79114,4.11724,0.17879,1.07621,15.97052,0.24845,0.98793,0.17879,3.6119,4.16293,0,1.23741,0,120.48914,2.91879,1.90897,0.29276,0.17879,0.17879,0.82897,0.17879,1.23138,0.17879,0.75414,18.485,0.99052,0.20828,3.50379,0.7731,0.5881,0.17879,0.93931,77.57111,44.73207,0.31672,0.22931,1,0.36241,0,0.995,0.81017,0.17121,10.79862,4.20776,1.57069,0.17879,0.17879,15.69947,0.17879,31.92393,17.66845,3.88983,0.17879,0.94207,0.19845,0.17879,0.24552,0.17879,0.35707,58.3425,0,1.09983,0.17879,3.15517,56.13534,18.08586,151.19056,0.17879,2.2819,0.17879,2.21862,0.78983,23.42,80.03155,0.94224,962.5,0.17879,0.17879,0.17879,2.6469,1.00345,0.9431,0.14293,8.41431,0.99776,0.17879,4.3229,0.17879,7.80645,5.02948,0,7.37741,0.42293,298.60111,0.17879,0.98983,0.17879,1.63259,5.57983,1.18362,1.11638,0.38207,34.06879,26.03931,39.75513,28.67568,2.16121,0,0.17879,0.17879,0,0,9.465,0,151.93,0.17879,1.02362,0,0.67552,0.17879,0.17879,0.17879,99.43207,0.93397,1.39121,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"2017-12-11","Abyss","UniqueWeapon",0.235,0.94948,3.88966,3.82259,3.88362,3.38328,1.08621,0.235,0.99534,2.98,1.11655,2.48672,100,0.235,303.75759,208.3725,0.235,0.235,1.45259,137.68069,0.75586,0.235,0.21655,5.3719,52.3819,145.9531,3.57069,582.86362,1.05172,0.235,0.26759,0.99086,0.98914,0.235,0.51466,21.65724,0.235,0.235,0.235,21.50448,24.7881,21.13069,0.24293,7.26603,20.21638,14.42828,1.22741,3.98345,52.62379,0.235,1,20.89609,0.99103,0.235,0.235,8.33793,0.235,0.60759,0.235,0.235,0.16,0.23483,0.235,0.235,0.235,0.235,0.19552,7.84655,3.055,111.4984,0.93034,9.00052,5.29,0.4969,28.10552,4.24586,0.23431,0.99483,8.92931,0.235,0.91845,0.235,1.03034,1.60345,0,0.92155,0,54.55534,0.97362,1,0.235,0.235,0.235,0.80448,0.235,0.94759,0.235,0.26207,12.59724,0.99069,0.235,1.90241,0.24466,0.26776,0.235,0.84034,25.11759,33.91586,0.235,0.235,0.91862,0.235,0,0.97172,0.32241,0.23052,4.95172,1.62034,0.98845,0.235,0.23483,7.15448,0.23379,16.43172,12.14069,3.1731,0.235,0.78155,0.235,0.235,0.235,0.235,0.235,61.35906,0,0.93121,0.23466,1,44.935,20.2681,41.185,0.23431,2.19948,0.235,0.99672,0.69552,14.47603,93.90759,0.96707,707.69615,0.23328,0.235,0.23172,1.03069,0.97241,0.68759,0.1781,8.84897,0.97517,0.235,7.67517,0.235,4.90448,5.24655,0,16.74638,0.235,316.71059,0.235,0.62293,0.235,1,4.06621,0.99914,1.16103,0.23552,51.62069,20.10414,38.97759,10.9704,1.29466,0,0.235,0.23345,0,0,4.8319,382.95882,139.12845,0.235,0.81931,99.88979,0.71948,0.235,0.235,0.23397,107.04448,0.42397,1,0.99431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"2017-12-12","Abyss","UniqueWeapon",0.26586,0.83103,3.71966,3.42534,3.47776,3.81345,1,0.26655,0.77138,2.84379,0.99379,2.405,142.13531,0.26483,347.38052,122.09121,0.26655,0.26655,0.99759,54.70293,0.64466,0.26603,0.24983,3.46569,23.85017,140.72138,2.94897,565.19466,0.99655,0.26655,0.26655,1,0.91138,0.26655,0.2819,15.67293,0.26569,0.26655,0.26655,13.01293,26.92241,16.82776,0.26655,4.91879,19.67828,14.15172,1.08983,1.95569,50.65259,0.26655,0.99793,31.85103,0.96034,0.26655,0.26655,8.87017,0.26655,0.42224,0.26655,0.26655,0.18672,0.26655,0.26621,0.26655,0.26655,0.26655,0.19552,2.36017,2.04414,104.51613,0.69293,3.13845,2.59879,0.2681,11.045,2.92483,0.26569,0.93517,5.2219,0.26655,0.79,0.26655,1,1,0,0.70345,159,54.90034,0.91603,0.99948,0.26655,0.26655,0.26655,0.85293,0.26655,0.90707,0.26655,0.27345,9.10586,0.94569,0.26655,1.47414,0.26655,0.26655,0.26655,0.81052,8.45,31.12776,0.26655,0.26621,0.64966,0.26655,0,0.93983,0.34534,0.25397,3.16517,1.00328,0.97017,0.26655,0.26655,7.68,0.26655,9.17276,6.83172,2.50603,0.26241,0.54914,0.26655,0.26655,0.26655,0.26655,0.26655,0,0,0.64569,0.26655,0.95672,48.11448,16.17052,13.12224,0.26586,2.73017,0.26638,1,0.49672,3.09638,94.59724,0.96483,641.15293,0.26655,0.26655,0.26655,0.99828,0.68621,0.30328,0.20828,8.29138,0.75155,0.26655,4.37259,0.26621,8.22362,5.1069,0,19.08224,0.26759,212.395,0.26655,0.27379,0.26638,0.96397,4.29655,0.95966,1.24828,0.26655,45.9419,21.29879,34.94293,9.84914,1,0,0.26655,0.26655,0,0,4.49103,259.09091,110.05534,0.26362,0.40276,51.56621,0.34638,0.26655,0.26655,0.2619,86.66172,0.27224,1,0.94534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2017-12-13","Abyss","UniqueWeapon",0.27707,0.65569,4.14966,4.26552,4.01362,4.29052,0.97759,0.28552,0.88966,2.1169,0.99017,2.08259,79.69707,0.28483,381.66862,17.39638,0.28517,0.28552,1,70.60052,0.29052,0.28552,0.27724,2.14655,5.26897,158.91914,2.68586,647.02826,0.99845,0.28448,0.28552,0.99741,0.84328,0.28552,0.28552,13.9631,0.28448,0.28552,0.28552,7.22224,24.15259,16.53776,0.28552,3.90483,32.60914,13.56845,1,1.2431,48.48448,0.2831,0.8969,32.02448,0.98517,0.31345,0.28534,6.75483,0.28552,0.30914,0.28552,0.28552,0.18724,0.28552,0.28552,0.28552,0.28552,0.28552,0.22828,1.25931,1.87172,80.395,0.29776,2.30466,1.70448,0.28552,4.66017,2,0.27914,0.85414,3.15776,0.28552,0.33379,0.28483,1,1,0,0.57741,158.58974,52.92724,0.64621,0.96724,0.28552,0.28552,0.28293,0.93569,0.28552,0.86966,0.28552,0.28603,5.84552,0.91207,0.28552,1.62379,0.28552,0.28552,0.28552,0.80948,3.89569,22.29362,0.28552,0.28517,0.36328,0.28552,0,0.93086,0.30966,0.27741,2.45845,0.99931,0.96466,0.28552,0.28552,5.9869,0.28552,3.02741,4.38603,1.99724,0.28103,0.37,0.28552,0.28552,0.28552,0.28552,0.28552,2575.15435,1613.42727,0.42914,0.28552,0.96621,35.85517,11.08897,7.02086,0.27603,3.07155,0.28397,1,0.32759,1.98603,82.07,0.67569,583.52483,0.28552,0.28483,0.28448,0.99638,0.39379,0.28552,0.23,7.30862,0.70362,0.28552,4.47948,0.28552,7.45724,4.84845,20,34.9031,0.28552,161.77569,0.28552,0.28534,0.28431,1,4.72759,0.9819,1.80724,0.28552,24.30172,18.88655,31.71534,7.23621,1,0,0.28379,0.28552,0,207.14286,3,1468.75,75.69052,0.24672,0.34121,14.86172,0.28552,0.28552,0.28483,0.28552,86.88103,0.28552,1,0.93534,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"2017-12-14","Abyss","UniqueWeapon",0.2931,0.61483,4.35621,4.59293,4.03879,4.38966,0.97414,0.29397,0.46672,2,0.99534,1.66276,108.55397,0.29397,409.80534,6.63224,0.29379,0.29397,0.98155,70.90241,0.29397,0.26966,0.27086,1.30914,2.54397,133.62948,2.11241,924.61111,0.99414,0.29397,0.29397,1,0.97862,0.29397,0.29483,10.56,0.29397,0.29207,0.29345,3.30414,17.86793,15.875,0.29397,2.54345,26.72517,14.92328,0.99293,1,40.09948,0.28897,0.96603,24.78121,0.94776,0.68172,0.29397,4.92448,0.29397,0.29397,0.29397,0.29397,0.22103,0.28897,0.29379,0.29397,0.29397,0.29328,0.25897,1,1.73603,109.53151,0.32138,1.48397,1.07948,0.29397,3.02586,1.98052,0.27741,0.81138,2.01345,0.29397,0.43397,0.29259,1,0.99345,413.12,0.35397,121.40588,47.01948,0.47069,0.66069,0.29379,0.29397,0.28897,0.91448,0.29397,0.67552,0.29397,0.29397,4.96845,0.66,0.29397,1.99086,0.29397,0.29397,0.29397,0.93914,2.70207,18.78328,0.29397,0.29397,0.29397,0.29379,0,0.98017,0.33155,0.28397,1.85914,0.99672,0.90121,0.29362,0.29397,6.22845,0.29397,2,3.03672,1.87897,0.29224,0.30034,0.29397,0.29397,0.29397,0.29241,0.29397,1985.60259,878.00897,0.3169,0.29328,0.83672,36.24328,8.06052,4.67776,0.26983,2.81621,0.29397,0.99828,0.30276,1.94362,66.62241,0.68086,483.7781,0.29397,0.29397,0.29069,0.99621,0.35224,0.29397,0.26121,6.77948,0.3781,0.29397,3.02345,0.29397,5,4.77224,19.44172,39.20931,0.29397,146.13603,0.32397,0.29397,0.28086,1,6.58362,0.90293,2.70845,0.29345,17.91052,16.31086,31.71414,5.01707,0.99983,83.09091,0.29172,0.29397,0,0,2.1481,561.91143,90.41328,0.22276,0.34483,12.19759,0.29397,0.29379,0.28621,0.29379,79.75466,0.29397,0.94741,0.79966,19.37385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"2017-12-15","Abyss","UniqueWeapon",0.30719,0.37754,4.42404,4.31544,4.21211,4.65912,0.99579,0.30825,0.40246,1.97193,1,1.99105,94.66368,0.30667,415.60333,4.99877,0.30737,0.30825,0.98123,60.98211,0.30825,0.27895,0.29491,1.12035,1.95579,126.02491,2.15754,637.06088,0.93474,0.30825,0.30825,0.99772,0.98386,0.30825,0.30825,9.81526,0.30579,0.30825,0.30684,1.86737,22.80246,14.61193,0.30825,1.75386,19.51965,14.63088,0.99702,1,40.82561,0.30719,0.90579,22.42316,0.97544,0.90386,0.30825,3.98544,0.30825,0.30825,0.30825,0.30825,0.25175,0.30825,0.30667,0.30737,0.30807,0.30509,0.26579,0.99772,1.67684,70.91404,0.30965,1.07579,1,0.30825,2.06754,2,0.30526,0.70789,1.16965,0.30825,0.32123,0.29368,1,0.86965,394.03526,0.32947,118.20368,50.52333,0.39211,0.58526,0.30754,0.30825,0.30053,0.93842,0.30825,0.55667,0.30702,0.30825,3.83544,0.66193,0.30825,1.81895,0.30825,0.30719,0.30825,0.83789,1.8014,14.10316,0.30825,0.30825,0.30825,0.30825,0,0.97316,0.32351,0.29281,1.45842,0.99842,0.69368,0.30825,0.30789,6.27579,0.30825,1.63018,2.35333,1.70702,0.29175,0.30877,0.30825,0.30825,0.30368,0.30807,0.30719,1996.40439,1225.2886,0.31684,0.30825,0.58333,34.83439,8.07772,3.23175,0.29105,2.36947,0.30807,0.99842,0.34123,1.48404,62.81,0.65947,449.57193,0.30702,0.30825,0.30386,0.95368,0.36807,0.30825,0.27982,6.9593,0.33351,0.30825,2.03,0.30825,5.25544,5.01491,18.89526,38.09456,0.30825,115.56544,0.43825,0.30825,0.24965,1,8.70351,0.99263,2.22544,0.30825,12.66456,11.61404,27.18842,3.3007,0.99351,80,0.29719,0.30825,420,0,2,438.61754,77.20228,0.27526,0.30982,10.47158,0.30895,0.30807,0.29895,0.30772,84.87526,0.30702,0.9986,0.87702,17.24772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"2017-12-16","Abyss","UniqueWeapon",0.31483,0.37707,3.92379,3.90931,3.94103,4.4081,0.96276,0.31931,0.32034,1.76776,0.97914,1.99431,73.34069,0.31431,433.37379,4.52034,0.31845,0.31862,0.99845,38.38776,0.33948,0.29034,0.31879,1,1.15776,117.63983,1.96776,607.89483,0.75276,0.32017,0.32034,0.98845,0.97672,0.31931,0.32034,9.19017,0.32034,0.31948,0.31655,1,20.38914,12.73448,0.32034,1.42931,19.23707,14.48517,0.99914,0.99897,35.41069,0.29966,0.81293,19.50448,0.99397,0.87431,0.32034,2.80569,0.32034,0.32034,0.32034,0.32034,0.22586,0.32034,0.31293,0.32034,0.31966,0.32034,0.27397,0.99724,1.00552,54.86241,0.32207,1.09034,1,0.32034,1.51293,2,0.30224,0.69534,1,0.32,0.32034,0.30638,0.99293,0.93966,199.30707,0.32655,76.3431,44.07466,0.37224,0.47897,0.32034,0.32034,0.30103,0.92914,0.31845,0.47793,0.315,0.32034,4.01259,0.89069,0.32034,1.52741,0.32034,0.32034,0.31914,0.90121,0.99569,9.88466,0.32034,0.32034,0.32,0.31862,0,0.9731,0.3269,0.2969,1.96121,0.99724,0.65121,0.32034,0.31931,5.85138,0.31931,1.06948,1.685,1.62897,0.32034,0.34569,0.3169,0.31966,0.32034,0.31897,0.32034,1889.24828,1324.61328,0.32034,0.32034,0.58793,29.01397,6.83121,3.60034,0.29431,2.01862,0.32034,0.97793,0.32034,1.43362,53.71621,0.59138,484.74086,0.32,0.32034,0.31983,0.98552,0.38069,0.31914,0.26241,6.1219,0.32034,0.32034,1.93517,0.32034,5.91172,5.115,16.40862,34.91724,0.32034,103.17172,0.52793,0.32034,0.28362,0.96828,9.47121,0.97328,1.65534,0.32034,12.73966,9.97638,29.01121,3.56414,0.99879,64.31034,0.32034,0.32034,420,118.33333,1.76759,345.7481,51.24724,0.29586,0.32345,6.1831,0.32034,0.31931,0.30931,0.31845,83.40328,0.32034,1,0.58328,12.62362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"2017-12-17","Abyss","UniqueWeapon",0.31526,0.43421,3.89316,3.88965,3.65649,4.02772,0.82526,0.31825,0.32035,1.12123,0.99526,1.99491,47.6014,0.29579,446.65509,2.99842,0.32,0.32,0.97,29.40246,0.32193,0.27702,0.29491,1,1.0893,105.21088,1.88018,487.46579,0.74386,0.31965,0.31912,0.99421,0.99982,0.32,0.31842,6.95035,0.31789,0.31965,0.30175,1,16.39684,11.37035,0.31614,1.31246,16.76509,12.93263,1,0.99912,32.13474,0.31947,0.60632,18.75649,0.98737,0.95105,0.30702,2.84719,0.32,0.32,0.32,0.32,0.22491,0.32,0.30877,0.32,0.31982,0.31526,0.23439,0.98596,1.07211,35.52053,0.32,1,0.99895,0.32,1,2.18561,0.29386,0.54123,1,0.31579,0.32,0.27982,0.97421,0.89,99.45316,0.32,77.72579,41.45526,0.36439,0.32,0.32,0.31965,0.28807,0.86579,0.31982,0.5893,0.3186,0.32,3.77684,0.68842,0.31982,1.12877,0.31982,0.31947,0.31526,0.91193,1,8.66509,0.32,0.30947,0.32,0.31789,0,0.9786,0.32,0.29088,1.73193,0.99088,0.60544,0.31825,0.31211,6.03789,0.32,1,1,1.48333,0.31491,0.34,0.31702,0.32,0.32,0.32,0.32,1808.99737,843.68538,0.32,0.31456,0.47912,26.95,6.81088,3.86018,0.30684,2.0307,0.32,0.99316,0.32,1,48.69333,0.72298,461.74421,0.32,0.32,0.30807,0.9393,0.32561,0.32,0.25596,6.07965,0.32,0.31754,1.37351,0.32,5.09281,5.39298,13.06912,39.15789,0.31912,107.64982,0.56667,0.32,0.27211,0.99263,9.45789,0.92,1.49298,0.32,13.17474,9.38877,30.08719,4.55614,0.99965,57.7193,0.30228,0.31807,0,150,1.52474,340.94228,43.40158,0.26509,0.32912,4.48456,0.32,0.31246,0.28842,0.31825,83.00895,0.32,0.99509,0.87386,8.42561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"2017-12-18","Abyss","UniqueWeapon",0.29421,0.32035,4.07298,4.17018,3.93491,4.58193,0.94526,0.31737,0.32,1.04982,0.9707,1.70596,42.21105,0.30158,465.45842,2.73895,0.31789,0.33175,0.98439,25.87895,0.32,0.24789,0.26175,1.12789,1,97.74333,1.90316,419.7107,0.77702,0.31544,0.31965,0.98018,0.99719,0.31965,0.32,6.62175,0.31719,0.31386,0.28491,0.99965,19.73351,11.53825,0.30281,1.17789,29.26386,13.11018,0.99368,0.9986,30.37649,0.31228,0.84105,19.14,0.98544,0.95474,0.32,2.78053,0.32,0.32,0.32,0.32,0.19772,0.32,0.31842,0.31965,0.32,0.31877,0.22439,0.98439,1.44018,30.09632,0.32,1,0.99947,0.31281,1,2.0893,0.24158,0.4007,0.99772,0.31965,0.32772,0.26789,0.9786,0.6014,92.78526,0.32,62.48175,42.47035,0.37351,0.34035,0.32,0.3186,0.23719,0.94526,0.32,0.47351,0.29491,0.32,2.94491,0.61947,0.32,1.08,0.3186,0.31982,0.31842,0.7707,1,7.00614,0.32,0.30877,0.32,0.31614,0,0.94526,0.3207,0.23386,1.64509,0.99316,0.38175,0.29105,0.29895,5.03965,0.31737,1,1.0393,1,0.30386,0.3814,0.31842,0.31982,0.32,0.31842,0.32,714.77333,925.048,0.32,0.2993,0.47684,24.61579,6.9786,4.58684,0.29456,2.47982,0.31877,0.98491,0.32368,1,47.82456,0.71368,471.89281,0.32,0.32,0.26386,0.70404,0.46105,0.32,0.2314,6.9593,0.32,0.32,1.52754,0.32,5.19702,5.59719,12.77351,47.50035,0.31982,102.45737,0.79298,0.32,0.29351,0.98632,9.78561,0.98053,1.11684,0.32,10.97158,8.25649,29.18474,5.5586,0.99965,47.47368,0.30737,0.31667,0,150,1.68211,400.5935,43.8693,0.23456,0.32,3.43965,0.32,0.32,0.30719,0.31754,84.08526,0.32,1,0.75386,6.86579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
